"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_parse_price_valid[Subtotal (12 items) US $1,234.50-expected11]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","28117","test_probe_qualify[chromium]","tests","Sun May 24 15:28:17 IDT 2026","passed","Sun May 24 15:28:45 IDT 2026","","_z_probe","",""
"","0","test_parse_price_valid[$1,234.56-expected5]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","37133","test_scenario[regression-vintage-postcards-chromium]","tests","Sun May 24 13:49:32 IDT 2026","broken","Sun May 24 13:50:09 IDT 2026","","test_data_driven","",""
"","0","test_parse_price_valid[\u20aa 1,486.79-expected20]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"When no ``$`` is present, the parser falls back to the first bare
    numeric token. (Defensive — ResultCard prices always carry ``$``.)","0","test_parse_price_falls_back_to_bare_number_without_dollar","tests.unit","Tue May 19 19:16:23 IDT 2026","passed","Tue May 19 19:16:23 IDT 2026","","test_price_parser","",""
"","0","test_parse_price_valid[NIS 50-expected22]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","0","test_parse_price_valid[ILS 1,486.79-expected15]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","0","test_parse_price_valid[ILS 356.56-expected13]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"``Subtotal (3 items) $50.00`` would parse as 3 if the regex took
    the first number. The $-anchored pattern must win.","0","test_parse_price_dollar_anchor_beats_bare_integers","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
"","38149","test_scenario[regression-vintage-postcards-chromium]","tests","Sun May 24 16:40:53 IDT 2026","broken","Sun May 24 16:41:31 IDT 2026","","test_data_driven","",""
"","0","test_parse_price_unparseable_raises[Auction ended]","tests.unit","Mon May 25 12:30:38 IDT 2026","passed","Mon May 25 12:30:38 IDT 2026","","test_price_parser","",""
